State,Museum or Federal Agency,MNI,AFO,Geo Origin,County
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,0,California,Monterey
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Monterey
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Monterey
California,Salinas Union High School District,1,0,California,Monterey
California,"U.S. Dept. of Agriculture, FS, Los Padres NF",4,5,California,Monterey
California,"U.S. Dept. of Agriculture, FS, Los Padres NF",3,25,California,Monterey
California,"Cal. State, Monterey Bay",6,2,California,Monterey
California,"Cal. State, Monterey Bay",6,2,California,Monterey
California,"Cal. State, Monterey Bay",4,0,California,Monterey
California,"U.S. Dept. of Defense, Army, Fort Hunter Liggett",21,4,California,Monterey
California,"U.S. Dept. of Defense, Army, Fort Hunter Liggett",7,1,California,Monterey
California,"U.S. Dept. of Defense, Army, Fort Hunter Liggett",2,0,California,Monterey
California,"U.S. Dept. of Defense, Army, Fort Hunter Liggett",1,10,California,Monterey
California,California Dept. of Transportation,1,0,California,Monterey
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,California,Monterey
Arizona,Phoenix Museum of History,1,1,Colorado,Montezuma
Colorado,Rocky Ford Historical Museum,1,0,Colorado,Montezuma
Colorado,Rocky Ford Historical Museum,1,0,Colorado,Montezuma
Colorado,"Western Colorado University,  CT Hurst Museum",1,0,Colorado,Montezuma
Colorado,"Western Colorado University,  CT Hurst Museum",3,0,Colorado,Montezuma
Colorado,"Univ. of Denver, Museum of Anthropology",1,0,Colorado,Montezuma
Illinois,Field Museum of Natural History,5,2,Colorado,Montezuma
Illinois,Field Museum of Natural History,21,22,Colorado,Montezuma
Kansas,"Wichita State Univ., Dept. of Anthropology",3,1,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,7,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,1,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,3,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,4,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",7,1,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",20,99,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",6,1,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,5,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",6,5,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,6,Colorado,Montezuma
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,2,Colorado,Montezuma
Michigan,"Central Michigan Univ., Museum of Cultural and Natural History",1,5,Colorado,Montezuma
Nebraska,Hastings Museum,2,0,Colorado,Montezuma
Nebraska,Hastings Museum,1,0,Colorado,Montezuma
New York,American Museum of Natural History,6,0,Colorado,Montezuma
New York,American Museum of Natural History,6,1,Colorado,Montezuma
New York,American Museum of Natural History,1,1,Colorado,Montezuma
New York,American Museum of Natural History,3,0,Colorado,Montezuma
New York,American Museum of Natural History,1,0,Colorado,Montezuma
Texas,"Univ. of Texas, El Paso, Centennial Museum",1,0,Colorado,Montezuma
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,0,Colorado,Montezuma
Utah,Natural History Museum of Utah,5,0,Colorado,Montezuma
Washington,Saint Martin's Waynick Museum,1,0,Colorado,Montezuma
Alabama,Univ. of Alabama Museums,5,1,Alabama,Montgomery
Alabama,Univ. of Alabama Museums,3,0,Alabama,Montgomery
Massachusetts,Robert S. Peabody Institute of Archaeology,1,0,Alabama,Montgomery
Missouri,"Univ. of Missouri, Columbia, Museum of Anthropology",1,100,Arkansas,Montgomery
Illinois,Illinois State Museum,1,0,Illinois,Montgomery
Kansas,Kansas State Historical Society,1,2,Kansas,Montgomery
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",1,0,Kansas,Montgomery
Kentucky,"Univ. of Kentucky, William S. Webb Museum of Anthropology",1,0,Kentucky,Montgomery
Kentucky,"Univ. of Kentucky, William S. Webb Museum of Anthropology",26,74,Kentucky,Montgomery
Kentucky,"Univ. of Kentucky, William S. Webb Museum of Anthropology",21,46,Kentucky,Montgomery
Kentucky,"Univ. of Kentucky, William S. Webb Museum of Anthropology",2,1,Kentucky,Montgomery
Maryland,Maryland Historical Trust,15,0,Maryland,Montgomery
Maryland,Maryland Historical Trust,2,0,Maryland,Montgomery
Missouri,Missouri Dept. of Natural Resources,1,0,Missouri,Montgomery
Missouri,"Univ. of Missouri, Columbia, Museum of Anthropology",6,39,Missouri,Montgomery
New York,New York State Museum,7,0,New York,Montgomery
New York,New York State Museum,3,0,New York,Montgomery
New York,New York State Museum,2,0,New York,Montgomery
New York,New York State Museum,3,0,New York,Montgomery
New York,New York State Museum,4,0,New York,Montgomery
North Carolina,North Carolina Division of Archives and History,259,4154,North Carolina,Montgomery
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",1,0,North Carolina,Montgomery
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",3,0,North Carolina,Montgomery
Maryland,"U.S. Dept. of Defense, Defense Health Agency, National Museum of Health and Medicine",1,0,Ohio,Montgomery
Missouri,Museum of Osteopathic Medicine,1,0,Ohio,Montgomery
New York,American Museum of Natural History,1,0,Ohio,Montgomery
Ohio,Ohio History Connection (formerly the Ohio Historical Society),7,1,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,141,1621,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,2,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,1,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,7,2,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,4,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,2,1,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,1,1,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,2,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,1,2,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,1,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,1,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,1,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,6,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,1,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,1,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,3,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,6,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,1,0,Ohio,Montgomery
Ohio,Dayton Museum of Natural History,1,0,Ohio,Montgomery
Pennsylvania,Carnegie Museum of Natural History,1,2,Ohio,Montgomery
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,Tennessee,Montgomery
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",5,15,Tennessee,Montgomery
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",28,122,Tennessee,Montgomery
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",39,112,Tennessee,Montgomery
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",7,68,Tennessee,Montgomery
Virginia,Virginia Dept. of Historic Resources,1,0,Virginia,Montgomery
Virginia,Virginia Dept. of Historic Resources,3,0,Virginia,Montgomery
Virginia,"Virginia Department of Conservation and Recreation, Division of State Parks",0,400,Virginia,Montgomery
Virginia,"Virginia Department of Conservation and Recreation, Division of State Parks",2,0,Virginia,Montgomery
Virginia,"Virginia Department of Conservation and Recreation, Division of State Parks",2,300,Virginia,Montgomery
Virginia,"Virginia Department of Conservation and Recreation, Division of State Parks",0,1,Virginia,Montgomery
Michigan,Univ. of Michigan Museum of Anthropology,20,36,Michigan,Montmorency
Pennsylvania,State Museum of Pennsylvania,3,0,Pennsylvania,Montour
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,0,Texas,Moore
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,0,Texas,Moore
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,0,Texas,Moore
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,1,Texas,Moore
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,8,Texas,Moore
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,0,Texas,Moore
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",2,0,Texas,Moore
Louisiana,Univ. of Louisiana at Monroe,1,0,Louisiana,Morehouse
Louisiana,Univ. of Louisiana at Monroe,1,0,Louisiana,Morehouse
Nebraska,Hastings Museum,1,0,Louisiana,Morehouse
Nebraska,Hastings Museum,1,0,Louisiana,Morehouse
Alabama,Univ. of Alabama Museums,4,0,Alabama,Morgan
Alabama,Univ. of Alabama Museums,95,109,Alabama,Morgan
Alabama,Univ. of Alabama Museums,7,0,Alabama,Morgan
Alabama,Univ. of Alabama Museums,7,3,Alabama,Morgan
Alabama,Univ. of Alabama Museums,9,9,Alabama,Morgan
Alabama,Univ. of Alabama Museums,9,0,Alabama,Morgan
Alabama,Univ. of Alabama Museums,3,0,Alabama,Morgan
Alabama,Univ. of Alabama Museums,3,0,Alabama,Morgan
Alabama,Univ. of Alabama Museums,6,14,Alabama,Morgan
Alabama,Univ. of Alabama Museums,7,0,Alabama,Morgan
Georgia,"Univ. of Georgia, Dept. of Anthropology",4,58,Georgia,Morgan
Georgia,"Univ. of Georgia, Dept. of Anthropology",14,6,Georgia,Morgan
Georgia,"Univ. of Georgia, Dept. of Anthropology",7,28,Georgia,Morgan
Indiana,"Indiana University, Dept. of Anthropology",2,0,Illinois,Morgan
Indiana,"Indiana State Museum and Historic Sites Corporation, State of Indiana",1,0,Indiana,Morgan
Tennessee,"U.S. Dept. of Interior, NPS, Big South Fork NRRA",1,0,Tennessee,Morgan
West Virginia,West Virginia Division of Culture and History,31,57,West Virginia,Morgan
Kansas,Kansas State Historical Society,7,36,Kansas,Morris
Kansas,Kansas State Historical Society,7,2116,Kansas,Morris
New Jersey,Newark Museum,1,0,New Jersey,Morris
New York,American Museum of Natural History,1,0,New Jersey,Morris
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,0,Oregon,Morrow
Michigan,Univ. of Michigan Museum of Anthropology,1,0,North Dakota,Morton
New York,American Museum of Natural History,1,0,North Dakota,Morton
Texas,"Texas Tech Univ., Museum",2,0,Texas,Motley
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,0,Texas,Motley
Illinois,Illinois State Museum,1,1,Illinois,Moultrie
Illinois,Illinois State Museum,2,2,Illinois,Moultrie
Illinois,Illinois State Museum,3,0,Illinois,Moultrie
Illinois,Illinois State Museum,1,0,Illinois,Moultrie
Illinois,Illinois State Museum,34,21,Illinois,Moultrie
Illinois,Illinois State Museum,1,0,Illinois,Moultrie
Illinois,Illinois State Museum,4,10,Illinois,Moultrie
Illinois,Illinois State Museum,1,5,Illinois,Moultrie
Illinois,Illinois State Museum,3,103,Illinois,Moultrie
Illinois,Illinois State Museum,2,0,Illinois,Moultrie
Illinois,Illinois State Museum,19,86,Illinois,Moultrie
Illinois,Illinois State Museum,2,1,Illinois,Moultrie
Illinois,Illinois State Museum,1,0,Illinois,Moultrie
Illinois,Illinois State Museum,27,0,Illinois,Moultrie
Illinois,Illinois State Museum,1,0,Illinois,Moultrie
Missouri,"U.S. Dept. of Defense, Army COE, St. Louis District",1,0,Illinois,Moultrie
Missouri,"U.S. Dept. of Defense, Army COE, St. Louis District",4,10,Illinois,Moultrie
Missouri,"U.S. Dept. of Defense, Army COE, St. Louis District",8,4,Illinois,Moultrie
Missouri,"U.S. Dept. of Defense, Army COE, St. Louis District",23,0,Illinois,Moultrie
Missouri,"U.S. Dept. of Defense, Army COE, St. Louis District",18,19,Illinois,Moultrie
Missouri,"U.S. Dept. of Defense, Army COE, St. Louis District",1,0,Illinois,Moultrie
Missouri,"U.S. Dept. of Defense, Army COE, St. Louis District",9,0,Illinois,Moultrie
Missouri,"U.S. Dept. of Defense, Army COE, St. Louis District",4,9,Illinois,Moultrie
Missouri,"U.S. Dept. of Defense, Army COE, St. Louis District",31,5,Illinois,Moultrie
Kentucky,"Univ. of Kentucky, William S. Webb Museum of Anthropology",9,3,Kentucky,Muhlenberg
New York,American Museum of Natural History,6,0,Oregon,Multnomah
New York,American Museum of Natural History,1,0,Oregon,Multnomah
Georgia,"Univ. of Georgia, Dept. of Anthropology",68,62,Georgia,Murray
Georgia,Columbus Museum,1,0,Georgia,Muscogee
Oklahoma,"U.S. Dept. of Defense, Army COE, Tulsa District",2,14,Oklahoma,Muscogee
Ohio,Ohio History Connection (formerly the Ohio Historical Society),4,0,Ohio,Muskingum
Ohio,Ohio History Connection (formerly the Ohio Historical Society),3,162,Ohio,Muskingum
Ohio,Ohio History Connection (formerly the Ohio Historical Society),2,3,Ohio,Muskingum
Ohio,Ohio History Connection (formerly the Ohio Historical Society),5,0,Ohio,Muskingum
Ohio,Ohio History Connection (formerly the Ohio Historical Society),19,0,Ohio,Muskingum
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,0,Oklahoma,Muskogee
Nebraska,Hastings Museum,1,0,Nebraska,Nance
Nebraska,Hastings Museum,1,0,Nebraska,Nance
Nebraska,Hastings Museum,2,0,Nebraska,Nance
Nebraska,Hastings Museum,1,0,Nebraska,Nance
Nebraska,Hastings Museum,1,0,Nebraska,Nance
Nebraska,Stuhr Museum of the Prairie Pioneer,1,0,Nebraska,Nance
Massachusetts,Nantucket Historical Association,1,0,Massachusetts,Nantucket
Massachusetts,Nantucket Historical Association,1,0,Massachusetts,Nantucket
Massachusetts,Nantucket Historical Association,1,0,Massachusetts,Nantucket
Massachusetts,Nantucket Historical Association,1,0,Massachusetts,Nantucket
Massachusetts,Nantucket Historical Association,1,0,Massachusetts,Nantucket
Massachusetts,Nantucket Historical Association,1,0,Massachusetts,Nantucket
Massachusetts,Nantucket Historical Association,3,0,Massachusetts,Nantucket
Massachusetts,Nantucket Historical Association,1,0,Massachusetts,Nantucket
Massachusetts,Nantucket Historical Association,2,0,Massachusetts,Nantucket
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,2,0,Massachusetts,Nantucket
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,2,0,Massachusetts,Nantucket
California,"U.S. Dept. of Interior, Reclamation, Mid-Pacific Region",1,0,California,Napa
California,"Univ. of California, Davis, Dept. of Anthropology Museum",1,0,California,Napa
California,"Univ. of California, Davis, Dept. of Anthropology Museum",1,0,California,Napa
California,"San Francisco State Univ., NAGPRA Program, Anthropology Dept.",1,0,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",38,14,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",7,0,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",23,1576,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,1,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",5,2,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,0,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",3,0,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",17,1,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",16,2,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",20,51,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",22,297,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,37,California,Napa
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",2,76,California,Napa
Florida,"Florida Dept. of State, Division of Historical Resources",8,0,Florida,Nassau
Florida,"Florida Dept. of State, Division of Historical Resources",5,0,Florida,Nassau
Florida,"Florida Dept. of State, Division of Historical Resources",1,0,Florida,Nassau
Florida,"Florida Dept. of State, Division of Historical Resources",1,0,Florida,Nassau
Florida,"Florida Dept. of State, Division of Historical Resources",1,0,Florida,Nassau
Florida,"Florida Dept. of State, Division of Historical Resources",1,0,Florida,Nassau
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",6,0,Florida,Nassau
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",183,0,Florida,Nassau
Maryland,"U.S. Dept. of Defense, Defense Health Agency, National Museum of Health and Medicine",4,0,Florida,Nassau
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Florida,Nassau
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Florida,Nassau
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,0,Florida,Nassau
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Florida,Nassau
New York,American Museum of Natural History,5,0,New York,Nassau
New York,American Museum of Natural History,3,20,New York,Nassau
New York,American Museum of Natural History,1,0,New York,Nassau
New York,American Museum of Natural History,1,0,New York,Nassau
New York,American Museum of Natural History,35,50,New York,Nassau
New York,American Museum of Natural History,5,1,New York,Nassau
New York,Nassau County Dept. of Parks and Recreation,2,6,New York,Nassau
New York,Nassau County Dept. of Parks and Recreation,1,0,New York,Nassau
New York,Nassau County Dept. of Parks and Recreation,1,0,New York,Nassau
New York,Nassau County Dept. of Parks and Recreation,1,0,New York,Nassau
New York,Nassau County Dept. of Parks and Recreation,1,0,New York,Nassau
Louisiana,"U.S. Dept. of Interior, FWS, Natchitoches National Fish Hatchery",100,0,Louisiana,Natchitoches
Louisiana,"Northwestern State Univ. of Louisiana, Williamson Museum",3,52,Louisiana,Natchitoches
Louisiana,"Northwestern State Univ. of Louisiana, Williamson Museum",4,45,Louisiana,Natchitoches
Louisiana,"Northwestern State Univ. of Louisiana, Williamson Museum",1,0,Louisiana,Natchitoches
Louisiana,"Northwestern State Univ. of Louisiana, Williamson Museum",1,0,Louisiana,Natchitoches
Wyoming,"Univ. of Wyoming, Dept. of Anthropology",1,2,Wyoming,Natrona
Wyoming,"Univ. of Wyoming, Dept. of Anthropology",1,0,Wyoming,Natrona
Wyoming,"U.S. Dept. of Interior, BLM, Wyoming State Office",1,0,Wyoming,Natrona
Wyoming,"U.S. Dept. of Interior, BLM, Wyoming State Office",1,0,Wyoming,Natrona
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",2,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",13,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",7,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",1,0,Arizona,Navajo
Arizona,"Univ. of Arizona, Arizona State Museum",2,0,Arizona,Navajo
Arizona,Arizona State Parks,5,0,Arizona,Navajo
Arizona,Arizona State Parks,15,12,Arizona,Navajo
Arizona,Arizona State Parks,25,22,Arizona,Navajo
Arizona,Arizona State Parks,6,0,Arizona,Navajo
Arizona,Arizona State Parks,9,12,Arizona,Navajo
Arizona,Arizona State Parks,2,0,Arizona,Navajo
Arizona,Arizona State Parks,55,0,Arizona,Navajo
Arizona,Arizona State Parks,7,0,Arizona,Navajo
Arizona,Arizona State Parks,1,0,Arizona,Navajo
Arizona,Arizona State Parks,4,0,Arizona,Navajo
Arizona,Arizona State Parks,20,0,Arizona,Navajo
Arizona,Arizona State Parks,1,0,Arizona,Navajo
Arizona,Arizona State Parks,1,1208,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",3,0,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",3,0,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",4,0,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",3,0,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,1,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",12,0,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",20,0,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",10,0,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",17,11,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",13,5,Arizona,Navajo
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",3,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",1,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",1,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",3,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",3,1,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",1,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",1,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",18,34,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",2,3,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",17,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",1,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",1,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",1,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",4,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",1,0,Arizona,Navajo
District Of Columbia,"U.S. Dept. of Interior, BIA",1,0,Arizona,Navajo
Illinois,Field Museum of Natural History,19,62,Arizona,Navajo
Illinois,Field Museum of Natural History,9,19,Arizona,Navajo
Illinois,Field Museum of Natural History,23,12,Arizona,Navajo
Illinois,Field Museum of Natural History,17,9,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,32,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",17,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",23,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",10,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,1,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",7,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",6,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,2,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,1,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,41,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",0,35,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",0,2,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,34,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",4,1,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",22,1368,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",6,24,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",4,23,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,131,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",216,204,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,110,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Arizona,Navajo
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",6,0,Arizona,Navajo
